Startup Name,Industry,Country,Funding Stage,Amount Raised (USD),Funding Date,Number of Employees
Young-Dean,AI,France,IPO,216762108.0,2017-12-15,191
"Gray, Vargas and Mitchell",SaaS,Germany,Series B,28142667.0,2017-01-02,176
Pineda Inc,Tech,Germany,IPO,381288972.0,2024-07-10,208
Lambert PLC,Gaming,UK,Series A,3406967.0,2021-03-02,219
Mcdowell-Berg,Education,UK,Seed,376404.0,2019-11-28,26
"Miller, Johnson and Dudley",AI,UK,Series C,127056221.0,2017-09-14,381
Ibarra and Sons,SaaS,Netherlands,Series B,35674806.0,2016-02-04,279
Dodson-Flores,SaaS,USA,Series B,47429116.0,2022-10-02,281
Huff-Lynch,Tech,USA,Series A,3284362.0,2021-04-11,30
"Bowman, Wilkinson and Reynolds",AI,Netherlands,IPO,991173260.0,2025-08-17,35
Livingston-Brandt,Gaming,India,IPO,910265346.0,2021-10-19,217
"Dennis, Aguilar and Conley",Tech,Netherlands,Series A,2954693.0,2024-05-20,95
Snow-Griffin,Health,USA,Series B,37660270.0,2025-12-13,487
Conway-Gallagher,Gaming,France,Series B,18584706.0,2018-06-15,276
"Phillips, Rogers and Harrell",SaaS,Australia,Series C,187307011.0,2019-06-03,397
"Morales, Powell and Wilcox",Health,India,Seed,56263.0,2024-02-12,477
Castillo-Morris,Tech,India,Series B,36655925.0,2019-08-23,285
Collins-Chung,Finance,UK,Seed,463444.0,2020-06-22,464
Lee Inc,Tech,India,Series C,53569041.0,2020-08-16,97
"Peterson, Murphy and Davis",SaaS,Germany,Seed,313473.0,2021-05-30,346
"Rios, Ellis and Warner",Health,Netherlands,Series A,6454232.0,2019-06-30,27
"Lopez, Jackson and Mitchell",Gaming,UK,Series C,193123968.0,2016-11-06,59
Fields Inc,Finance,Netherlands,IPO,436779631.0,2022-06-21,112
"Phillips, Ferrell and Short",E-commerce,Canada,IPO,235095462.0,2019-01-06,494
Banks and Sons,AI,India,Series C,197457932.0,2019-08-26,51
"Morris, Henry and Wood",E-commerce,France,Series A,4003295.0,2023-01-26,363
Thomas-Huang,E-commerce,Netherlands,Series A,5398539.0,2019-03-16,284
Hill Inc,Health,Canada,Series B,22531599.0,2019-06-20,27
"Hernandez, Martin and Ferguson",E-commerce,Australia,Series A,3154271.0,2021-11-09,100
"Smith, Smith and Davis",Education,Netherlands,Series A,7697857.0,2023-03-02,123
"Patel, Ross and Ramirez",AI,India,Series C,184118520.0,2024-03-13,241
"Jones, Turner and Pearson",SaaS,Canada,Seed,206781.0,2017-06-15,70
"Bryan, Wilson and Bowman",Tech,USA,Series C,90493235.0,2019-01-25,360
Jones PLC,AI,Australia,Series A,9945198.0,2018-03-26,379
Clark-Valdez,AI,Canada,Series A,2610956.0,2019-01-29,327
"Serrano, Taylor and Bell",AI,UK,Seed,295068.0,2017-01-29,358
Lambert Group,Tech,Netherlands,Seed,232423.0,2020-05-27,96
Allen-Jennings,AI,USA,IPO,779003876.0,2020-06-26,225
Patel-Stewart,AI,Netherlands,Series C,135057219.0,2016-01-14,227
"Yates, Ramirez and Bennett",Tech,Canada,Series A,9014590.0,2018-12-31,273
Farmer Group,Tech,Netherlands,Series B,40296241.0,2023-01-29,424
"Wilson, Smith and Robinson",Health,USA,IPO,242245367.0,2022-12-29,450
Pruitt PLC,Education,UK,Series B,44526142.0,2023-05-30,139
"Perez, Burnett and Wilson",E-commerce,Australia,IPO,593253722.0,2023-05-14,61
Bowen Inc,Gaming,France,Series C,189842946.0,2024-09-06,159
Hernandez PLC,Education,UK,Series C,173069510.0,2017-06-11,422
Powell-Richardson,Health,India,Series A,8224296.0,2018-09-21,66
Price-Harrison,Education,Australia,Series C,50213310.0,2025-06-07,166
Baker Inc,Finance,India,Series C,181966385.0,2021-05-21,72
Short-Becker,Tech,UK,Series A,6145370.0,2017-07-26,85
Mclean-Lopez,AI,USA,Series A,1715263.0,2016-04-09,429
Phillips-Morgan,E-commerce,Netherlands,Series C,102559586.0,2021-12-08,110
Alvarez Ltd,SaaS,France,Series B,39997457.0,2020-03-05,53
"Rodriguez, Stone and Vincent",E-commerce,USA,Series B,41176324.0,2025-06-18,116
Reyes-West,AI,UK,Series C,85870956.0,2025-09-21,89
Finley-Wilcox,E-commerce,Netherlands,Series C,191595311.0,2016-11-02,461
"Martin, Roberts and Williams",Finance,Canada,Series C,131842419.0,2024-07-27,331
"Young, Sharp and Thompson",Gaming,USA,IPO,421242446.0,2024-07-23,393
Tanner Group,Health,Australia,Series A,8458175.0,2019-04-16,32
Montes LLC,Health,Canada,Series B,22055337.0,2022-10-10,197
Miller-Pugh,Education,Canada,IPO,669206297.0,2019-04-28,295
Cuevas-Miller,SaaS,USA,Series C,114707201.0,2017-06-06,479
Nixon-Hernandez,Health,Germany,IPO,359097961.0,2023-05-03,264
Howard-Reese,Gaming,Australia,Series A,6446774.0,2024-09-29,226
Haley Ltd,SaaS,France,Series C,72508142.0,2022-06-05,128
Keller and Sons,SaaS,Netherlands,Series C,189836857.0,2023-12-02,462
Colon-Harrington,Finance,Germany,Series A,2320829.0,2023-09-17,295
Lee-Lynch,Tech,Netherlands,IPO,659671946.0,2021-11-05,19
"Holloway, Scott and Scott",Health,UK,Series B,42076626.0,2019-08-19,456
Bryant-Harmon,Education,Canada,Series C,173580703.0,2018-11-19,209
"Buckley, Smith and Farrell",SaaS,USA,Series A,2532835.0,2022-03-31,132
Farrell Group,Health,USA,Seed,134855.0,2018-02-03,308
"Lang, Petersen and Fernandez",E-commerce,France,IPO,415365516.0,2020-12-08,268
Rodriguez-Davis,AI,UK,IPO,403917324.0,2023-04-09,307
"Williams, Adams and Sanchez",SaaS,Netherlands,Seed,100825.0,2018-07-22,457
Ryan-Foster,Tech,Canada,Series C,127941998.0,2024-08-05,143
"Medina, Ellis and Williamson",Tech,Netherlands,Series A,7266461.0,2016-03-05,197
"Patterson, Martinez and Moody",Health,USA,IPO,448400517.0,2022-01-02,415
"Pennington, Bennett and Drake",Health,UK,Series A,4594471.0,2020-10-17,483
Garcia-Woods,AI,France,Series B,17403380.0,2018-01-24,351
"Burns, Compton and Cooley",E-commerce,Australia,IPO,924573371.0,2025-08-28,384
Robinson-Hart,Finance,Netherlands,Series B,18378923.0,2020-03-11,466
Mitchell Inc,Health,Canada,Series B,36261669.0,2023-10-23,178
Nielsen-Wilcox,Finance,UK,Series C,53331309.0,2024-06-15,202
"Huynh, Berger and Jensen",Education,Canada,IPO,786546492.0,2025-06-20,37
Norris Group,Tech,Australia,Series C,127697935.0,2016-02-13,68
Kim-Anderson,E-commerce,Canada,Seed,415482.0,2025-08-16,485
Harris-Jones,SaaS,UK,Seed,404654.0,2016-11-01,459
Petty-Smith,Tech,Canada,Seed,328126.0,2019-02-12,220
"Rodriguez, Reid and Richardson",Finance,Australia,Series B,33101390.0,2017-08-06,280
Rivas Ltd,Education,India,Series A,5569405.0,2023-06-14,473
"Morris, Hutchinson and Campbell",E-commerce,France,Series B,17340264.0,2017-05-08,10
Sanchez Group,Education,Netherlands,Series A,7381276.0,2022-11-22,452
"Cox, Callahan and Snyder",Gaming,USA,Series B,18442241.0,2024-02-15,257
"Graham, Williams and Salazar",Health,Netherlands,Series B,27698782.0,2023-08-23,141
Padilla-Washington,E-commerce,India,Seed,166081.0,2017-11-20,256
"Brennan, Griffin and Mills",Education,Canada,Series A,1532342.0,2016-07-29,18
"Vega, Reyes and Davis",Education,USA,Series C,170816977.0,2024-09-14,178
Baker-Miller,Finance,Canada,IPO,970717874.0,2018-02-19,392
"Lynch, Bean and Meyers",SaaS,UK,Seed,388390.0,2023-06-07,430
"Smith, Marquez and Cooper",Finance,UK,Seed,56632.0,2018-11-07,369
Lopez PLC,Gaming,USA,Seed,185388.0,2022-11-25,99
Browning Group,Education,France,Series C,107246755.0,2023-11-12,171
"Brown, Wilson and Briggs",Finance,Netherlands,Seed,126964.0,2023-02-04,221
Mitchell-Hunter,AI,USA,Series B,13488274.0,2021-11-03,448
Martinez-Hancock,Health,France,Series A,7169917.0,2022-12-31,377
"Tyler, Byrd and Carlson",Education,Germany,Series B,46677215.0,2024-08-28,148
Thompson-Williams,AI,USA,IPO,750911102.0,2020-02-22,213
Garza Inc,Health,Canada,Series B,43030488.0,2017-04-11,315
"Thompson, Hudson and Aguilar",Education,Germany,IPO,641962972.0,2023-06-02,430
Morales-Valdez,Finance,Germany,Series C,129012529.0,2021-09-13,354
"Escobar, Bryant and Williams",Tech,UK,Seed,350362.0,2019-04-13,469
Rodriguez-Mitchell,Finance,UK,Series B,44313066.0,2020-02-29,379
Williams-Lopez,AI,USA,Seed,463076.0,2021-12-17,440
"Hughes, Miller and Clay",AI,Australia,Series B,17162981.0,2024-08-23,491
Jennings LLC,SaaS,USA,Series A,3491477.0,2018-07-26,212
Crawford-Dickson,Tech,Canada,IPO,767682556.0,2023-08-12,331
"Martin, Mccoy and Benitez",Gaming,USA,Seed,283281.0,2017-04-09,339
"Benson, Roberts and Fleming",Health,France,IPO,303382749.0,2017-11-03,53
Young Group,E-commerce,India,Series A,2190045.0,2018-11-11,96
Riley PLC,Education,UK,Series A,7780645.0,2023-01-14,498
Evans Group,Gaming,Australia,Series B,22350237.0,2018-07-17,252
"Palmer, Williams and Figueroa",AI,UK,Series C,59463775.0,2025-04-29,289
"Hicks, Brown and Bell",Finance,Canada,Series C,128051523.0,2017-07-27,475
Morris-Travis,Finance,Canada,Series C,71486450.0,2017-09-12,363
"Johnson, Lawson and Goodwin",Health,France,IPO,362063712.0,2024-09-22,468
"Baker, Allen and Henderson",Health,India,Series C,146663475.0,2023-10-22,247
"Mccoy, Andrade and Barajas",Finance,UK,IPO,279625395.0,2016-11-08,179
Rivera-Cobb,Education,UK,Series B,24616453.0,2023-11-07,386
Serrano-Bowman,Finance,UK,Seed,256474.0,2022-09-03,187
Rojas PLC,Gaming,USA,Seed,63841.0,2018-09-07,361
"Saunders, Holden and Walker",Finance,Australia,Seed,144217.0,2019-09-20,158
Hess Group,AI,Germany,IPO,603348978.0,2025-04-25,160
Fernandez PLC,Finance,Germany,Series B,20905538.0,2023-03-14,77
Anderson and Sons,AI,India,Series A,3075790.0,2017-06-12,317
"Byrd, Torres and Mcbride",SaaS,USA,Series A,4716972.0,2022-10-24,394
Vasquez LLC,Finance,France,Seed,401965.0,2019-03-21,210
Reynolds-Wilson,Tech,India,Seed,171646.0,2017-08-18,248
Cook LLC,SaaS,Canada,Seed,472426.0,2025-12-20,204
"Castillo, Adams and Barr",AI,Canada,IPO,355265117.0,2023-10-22,280
Tucker Group,Education,Australia,Series A,7747762.0,2018-11-30,337
Martinez Group,Gaming,Netherlands,Series C,127662066.0,2025-10-08,361
"Daniel, Keller and Mcdonald",E-commerce,Canada,Series A,5191737.0,2017-03-10,25
Jones LLC,Education,Canada,Series C,188170828.0,2017-12-19,443
Kelley-Smith,SaaS,USA,Series C,173476247.0,2025-05-11,486
Munoz and Sons,E-commerce,France,Series C,62302647.0,2024-08-18,153
Martinez LLC,Gaming,India,Seed,343057.0,2019-02-10,90
Barnes Ltd,Education,France,Series A,9277082.0,2025-11-22,270
Gamble-Landry,Tech,France,IPO,916433810.0,2019-02-06,47
"Bartlett, Harris and Taylor",Education,USA,Series A,2833994.0,2022-02-17,102
Zhang Ltd,Gaming,Australia,Seed,55399.0,2022-06-20,472
Robles and Sons,Education,Germany,Series C,171152703.0,2024-12-01,97
Casey and Sons,SaaS,Australia,Series C,69334443.0,2022-07-12,109
"Benton, Martinez and Morse",Gaming,Australia,Series B,23241081.0,2025-10-29,252
Miller-Morris,Tech,Netherlands,Series B,19377043.0,2024-06-18,266
Spencer Inc,Finance,Australia,Series A,5697791.0,2023-04-09,358
"Johnson, Cross and Livingston",Gaming,India,Series C,194231325.0,2018-06-21,23
Hooper-Montes,E-commerce,USA,Seed,185916.0,2022-11-15,189
Fields-Young,E-commerce,Germany,Seed,329208.0,2019-06-25,223
"Chase, Wagner and Bush",Gaming,Canada,Series B,13755620.0,2019-01-22,439
"Fields, Rodriguez and Farrell",Tech,UK,Series C,114079191.0,2016-02-20,202
Gentry PLC,Tech,UK,Seed,366849.0,2021-02-16,382
Madden-Evans,Tech,UK,Series A,9136975.0,2025-03-22,474
Contreras-Franklin,Education,USA,Series A,5414268.0,2022-12-28,163
Frost-Douglas,Tech,USA,Series B,44214541.0,2020-10-15,401
Reid-Bartlett,Finance,Netherlands,Series A,9322472.0,2020-04-09,247
Mcgee Inc,Tech,Australia,IPO,550154199.0,2018-11-21,311
Thomas-Richards,Finance,Australia,IPO,904270447.0,2023-04-01,89
Miller-Sanders,AI,India,Series B,39486783.0,2018-06-16,163
Clayton-Garner,Gaming,UK,Seed,292641.0,2021-08-22,123
"Gomez, Owens and Hunter",Education,India,Series C,176859311.0,2023-12-18,191
Buchanan-Mckinney,SaaS,USA,IPO,431978610.0,2022-10-31,90
Miranda-Wells,SaaS,France,Series C,163123952.0,2020-06-25,362
"King, Ward and Peterson",Tech,Germany,Seed,300710.0,2019-07-31,239
"Moyer, Bryant and Hicks",Education,Netherlands,Series B,30277970.0,2021-08-01,80
Kelly and Sons,Health,Australia,Series B,35171145.0,2016-11-01,379
Rogers-Daniels,AI,Germany,Series B,36614866.0,2016-06-30,125
Nelson-Faulkner,Education,Australia,Series B,23981011.0,2024-09-05,40
Blanchard Ltd,Gaming,UK,Series B,22016941.0,2022-10-20,256
Patel Inc,Finance,Australia,IPO,283421751.0,2017-07-10,494
"Becker, Washington and Casey",Health,UK,IPO,614688921.0,2017-02-22,41
"Hurley, Franklin and Jackson",Gaming,Netherlands,Series A,5916620.0,2020-08-27,271
"Phillips, Martinez and Turner",SaaS,Canada,Seed,363215.0,2024-04-29,375
Brown-Williams,Education,Australia,Seed,458575.0,2016-09-08,219
"Guerra, Carter and Turner",Finance,Canada,Series A,7799325.0,2023-01-14,95
White Group,Gaming,France,Series B,32038765.0,2020-10-21,47
Short and Sons,E-commerce,France,Series B,38167424.0,2017-06-03,446
Williamson Ltd,Education,Germany,Series C,110221638.0,2021-02-26,206
Taylor Inc,E-commerce,Australia,Series B,21734249.0,2025-09-10,215
Alexander and Sons,Health,Australia,Series B,12707909.0,2025-05-14,348
Hill-Johnson,Finance,Germany,Seed,450768.0,2017-01-23,464
"Bell, Rodgers and Rose",Education,USA,Series A,7822700.0,2022-02-07,473
"Jordan, Harding and Ramsey",Finance,UK,Series B,10055361.0,2025-09-23,113
Barr LLC,Tech,France,IPO,791650908.0,2023-09-10,362
Villarreal Inc,SaaS,Canada,Seed,483166.0,2020-03-16,291
Davis-Porter,SaaS,Canada,Series A,3314434.0,2025-09-20,178
Jensen-Anderson,Tech,Canada,IPO,917431802.0,2023-02-27,362
Stark Group,Education,Netherlands,Series A,6453831.0,2021-02-11,193
"Williamson, Santiago and Newton",E-commerce,Australia,Series B,19624481.0,2017-07-19,308
"Foster, Smith and Brown",E-commerce,Canada,Series B,45370088.0,2017-12-20,24
Horne-Montes,Education,USA,Series A,8151613.0,2018-05-20,270
Washington-Hampton,Health,UK,Series A,9349436.0,2017-08-12,239
Ramirez-Phillips,Tech,UK,Series A,8695567.0,2018-07-28,462
Graves-Robinson,Finance,UK,Seed,453249.0,2025-01-06,370
Burton LLC,Finance,France,Seed,233195.0,2019-11-06,423
Miller PLC,AI,Canada,Series B,24290744.0,2017-11-08,36
Clark-Hunt,Finance,Australia,Seed,458126.0,2018-06-25,385
Anderson-Bailey,SaaS,India,Series A,3400905.0,2018-10-30,241
Holloway PLC,Finance,France,IPO,809688616.0,2020-03-15,300
Garcia-Palmer,AI,Canada,Series C,126925306.0,2023-02-26,413
"West, Atkins and Johns",SaaS,France,Series B,12631380.0,2023-03-28,292
"Spencer, Silva and Zimmerman",Health,UK,IPO,546573249.0,2024-05-16,14
"Singh, Khan and Wallace",Education,India,Series A,5842123.0,2019-10-30,209
Rodriguez-Garcia,Finance,France,Series B,46509579.0,2020-12-04,469
"Dunn, Greene and Reed",AI,Canada,Series C,94894481.0,2016-04-02,486
Petty-Robinson,Gaming,Netherlands,Series B,30326783.0,2019-07-18,143
Reyes-Garrett,Education,Netherlands,Series A,3322213.0,2020-12-29,267
"Cox, Santos and Vasquez",SaaS,Canada,Series B,12717696.0,2017-09-12,454
"Luna, Higgins and Davidson",AI,Netherlands,Series C,182241269.0,2018-04-17,362
"Brown, Miller and Walter",Tech,Netherlands,Series B,21230543.0,2017-08-16,479
Valdez-Rogers,AI,India,Seed,233922.0,2016-12-29,469
Scott-Berg,Gaming,Germany,IPO,516655091.0,2016-11-21,490
Adams-Bolton,Finance,India,IPO,804833405.0,2017-02-12,427
Jones-Carlson,AI,Germany,Seed,50413.0,2019-07-23,252
Good Group,AI,France,IPO,463817301.0,2016-08-20,77
Turner Ltd,Tech,France,Series A,4689499.0,2024-04-13,153
Munoz Ltd,Gaming,Germany,Series A,4504488.0,2024-01-21,363
Anderson Inc,Tech,USA,IPO,435681244.0,2022-07-06,258
"Weber, Ochoa and Nunez",E-commerce,Canada,Series A,2352682.0,2020-03-19,155
"Nelson, Aguirre and Castro",Gaming,India,Series A,4180618.0,2021-09-14,138
Hawkins Group,AI,Australia,Series A,2357735.0,2025-02-23,464
Clark PLC,AI,India,Seed,157454.0,2016-04-27,107
"Hart, Carr and Stout",SaaS,Netherlands,Seed,251112.0,2018-10-29,461
"Brooks, Gill and Bush",Tech,Canada,Series A,9615263.0,2023-10-13,180
Barnett LLC,Tech,India,Series A,6703319.0,2020-05-27,81
"Smith, Rodgers and Nolan",Education,Germany,Series B,48622026.0,2016-01-21,72
Kelly-Hoffman,AI,Netherlands,Seed,84364.0,2021-10-26,299
Santos Inc,AI,Canada,Series B,39817084.0,2022-03-23,13
Collins-Terry,Finance,Canada,Series C,166346992.0,2018-06-02,484
"Barr, Sullivan and Anderson",Health,UK,Seed,204076.0,2017-04-08,11
Owens LLC,Gaming,Canada,Series C,107576325.0,2018-07-29,324
Wheeler-Holmes,AI,USA,Series A,2689908.0,2016-01-24,105
Campbell-Bell,Gaming,USA,IPO,497615766.0,2020-04-19,185
Singleton-Coleman,Health,India,Series C,195149581.0,2023-01-13,187
"Cunningham, Little and Acosta",E-commerce,USA,Series C,168847252.0,2020-05-10,144
Franco-Smith,Finance,Germany,IPO,360959494.0,2023-07-29,383
Mcclure PLC,Gaming,France,Series C,193677895.0,2018-01-16,351
Freeman-Sullivan,SaaS,UK,Seed,368889.0,2016-05-25,133
Larson Ltd,Finance,Australia,Series A,1892478.0,2016-12-16,342
Cunningham Inc,SaaS,Canada,IPO,835364997.0,2020-06-26,171
Pierce-Mclaughlin,E-commerce,USA,IPO,381786242.0,2024-08-16,120
"Gates, Freeman and Foster",Tech,Canada,IPO,338199696.0,2024-11-21,302
Meadows and Sons,Tech,France,Series C,115574193.0,2025-05-29,92
"Perry, Kim and Preston",Tech,UK,Seed,338716.0,2018-09-25,344
Tran-Thompson,SaaS,India,Series B,18751075.0,2023-04-21,310
Smith Ltd,Health,USA,Series A,4972829.0,2016-04-07,276
Gutierrez LLC,Gaming,Australia,Series A,2023602.0,2016-01-09,373
Mcintyre and Sons,Health,UK,IPO,400496295.0,2025-12-10,390
"Williams, Smith and Martin",SaaS,Germany,Series C,138204439.0,2018-01-03,446
Levy Ltd,Education,USA,IPO,658378803.0,2023-08-05,373
Galvan-Smith,SaaS,Netherlands,Series A,5439828.0,2023-08-12,259
"Mathis, Williams and Colon",Education,UK,Series B,23616490.0,2025-09-06,72
"Clark, Walsh and Robertson",Finance,UK,Series C,52035793.0,2021-07-01,106
"House, Reed and Sanchez",Tech,Australia,Series B,49219809.0,2018-07-22,218
Larsen LLC,AI,France,Series A,4292307.0,2024-04-02,160
Park LLC,Health,Canada,Series B,18788682.0,2016-02-16,325
Schneider-Randolph,Health,India,Series A,1850618.0,2016-07-04,99
Davis-Garcia,Gaming,Canada,Seed,425245.0,2022-09-21,265
"Weiss, Pugh and Rodriguez",Finance,UK,Series B,23197292.0,2017-06-17,491
Mccoy Group,AI,UK,Series C,69356614.0,2020-12-15,392
"Maxwell, Cruz and Hood",Finance,Canada,Series B,27917236.0,2022-07-16,278
"Jensen, Brown and Guzman",Gaming,UK,Seed,113125.0,2024-03-28,181
"Wilkins, Thomas and Garner",Tech,Netherlands,Series A,6198108.0,2017-07-24,457
Torres LLC,Health,Canada,Seed,310422.0,2019-06-12,321
"Gordon, Phelps and Thompson",Finance,India,Seed,125229.0,2019-08-09,275
Ruiz-Moss,SaaS,France,IPO,592775438.0,2023-09-10,37
Erickson-Schroeder,E-commerce,Germany,Series A,6157525.0,2022-01-02,310
"Anderson, Sandoval and Gordon",E-commerce,Canada,Series B,38198351.0,2025-03-30,131
Simmons-Long,Education,Canada,Series B,41932809.0,2020-12-21,427
Coleman-Huber,Gaming,Australia,Series A,8236015.0,2023-07-28,37
Bennett LLC,SaaS,India,Series A,8145728.0,2016-09-15,490
Hall-Watson,AI,Germany,Series B,37425708.0,2025-11-04,71
Griffin-Cole,AI,UK,Series B,27467224.0,2019-08-04,190
Swanson LLC,SaaS,Canada,IPO,348250553.0,2021-02-18,141
King LLC,AI,USA,Series A,8516191.0,2017-10-09,223
Carter Inc,Gaming,USA,Series A,1857704.0,2023-12-02,386
Kramer-Cunningham,Gaming,UK,Series C,106463718.0,2024-03-20,182
Velez Inc,Finance,USA,IPO,525723019.0,2019-06-21,282
Carlson Group,Gaming,Germany,Series C,152101198.0,2016-03-18,402
"Livingston, Jackson and Allen",AI,India,Series B,42761223.0,2020-06-24,126
Aguilar-Harmon,E-commerce,Australia,Seed,454009.0,2021-01-04,400
"Farrell, Holland and Ford",E-commerce,France,Seed,239609.0,2018-07-06,392
Tate-Riley,Tech,Australia,Seed,111257.0,2019-12-25,195
Haas PLC,Tech,France,Seed,458288.0,2023-03-14,104
Boyle-Murphy,AI,Netherlands,Seed,144747.0,2016-03-31,197
Gould Inc,Health,Australia,Series B,46572073.0,2019-06-18,260
Hughes-Hicks,AI,France,Series A,4110924.0,2018-11-21,143
Marshall-Hammond,E-commerce,USA,IPO,759280705.0,2019-10-14,121
"White, Lopez and Sandoval",AI,Germany,IPO,788711238.0,2023-07-03,13
"Watson, Duran and Gutierrez",Tech,Netherlands,Series A,1673510.0,2023-07-18,195
Howe Ltd,Gaming,USA,IPO,443935695.0,2018-08-05,299
Fernandez Ltd,E-commerce,India,Seed,422505.0,2017-04-06,227
"Thompson, Acosta and Fisher",AI,Germany,IPO,728127548.0,2018-03-01,188
Scott-Hall,SaaS,Netherlands,IPO,589718321.0,2019-08-18,155
Gilbert LLC,AI,USA,IPO,809765376.0,2021-12-29,233
"Sherman, Roy and Ward",Health,India,Series A,6023454.0,2019-05-16,6
Torres-Pierce,Tech,France,Series C,62616672.0,2016-12-18,458
"Velez, Williams and Weber",AI,Australia,Series C,188202689.0,2017-12-16,345
Stone Group,Finance,Australia,Series B,34544692.0,2017-06-08,430
Mcdaniel-Randolph,Gaming,Netherlands,Series B,26705527.0,2024-10-26,248
"Stewart, Hernandez and Cordova",Education,Australia,Series C,147409249.0,2016-11-10,136
Lozano Ltd,Gaming,France,Series C,164096124.0,2022-02-06,340
Williams-Carpenter,Health,France,Series B,28684819.0,2018-10-04,76
Fitzgerald Ltd,Gaming,Australia,Seed,279408.0,2025-09-28,410
Clark-Lee,SaaS,India,IPO,629989441.0,2024-07-16,43
Soto-Johnson,Tech,Canada,Seed,332923.0,2025-11-24,238
Davis-Hines,Health,Germany,Series A,4972036.0,2016-06-30,449
Holland-Williams,AI,Canada,IPO,878027416.0,2021-01-12,141
"Medina, Rodriguez and Salinas",Health,Canada,Series A,3504085.0,2024-04-16,240
"Richardson, Ortiz and Reese",Gaming,Netherlands,Seed,372901.0,2025-04-18,224
"Ramirez, Curtis and Harrison",Tech,Canada,Seed,480562.0,2018-11-04,100
Farrell and Sons,Health,France,Series A,5558083.0,2018-02-24,434
"Hendrix, Jordan and Gonzalez",SaaS,Germany,Seed,356884.0,2019-12-20,209
Garcia-Hendricks,Health,Canada,Series C,160718078.0,2019-02-08,271
Nelson and Sons,Education,USA,Seed,399850.0,2023-08-03,108
"Townsend, Fisher and Blake",Health,India,IPO,251946502.0,2018-01-12,401
"Chen, Diaz and Robles",Gaming,Australia,Series B,29715062.0,2022-03-02,425
Vang-Roberts,SaaS,Germany,Series C,107962385.0,2018-04-23,354
"Chan, Hamilton and Rivera",Education,Canada,IPO,313602917.0,2016-08-15,263
Peters PLC,Finance,India,Series C,187789792.0,2024-10-04,174
Simmons PLC,E-commerce,France,Series B,18650601.0,2024-02-25,322
Sparks-Greene,Health,Germany,Series C,170345148.0,2023-02-04,121
Landry-Haynes,Education,Australia,Series B,22724090.0,2022-02-22,10
Myers-Vang,E-commerce,UK,Seed,363545.0,2016-07-24,500
Beltran and Sons,Health,UK,IPO,498175968.0,2022-05-07,24
"Rose, Jones and Russell",Tech,Germany,Seed,250071.0,2017-07-22,222
Turner-Wilkerson,Finance,France,Series C,96075065.0,2022-09-08,352
"Hamilton, Miller and Burnett",Finance,Netherlands,Seed,339382.0,2021-01-18,312
Jensen Group,E-commerce,Canada,Series A,9337533.0,2023-10-14,299
Mcclure-Williams,AI,France,Series C,165714071.0,2020-06-25,377
Martin-Freeman,SaaS,France,IPO,293149896.0,2018-06-17,308
Vargas-Washington,Finance,USA,IPO,600528727.0,2024-06-04,409
"Dixon, Parker and Roach",Finance,Canada,Series C,131034317.0,2016-12-08,423
Cook-Weiss,Health,Netherlands,Series B,16241730.0,2022-09-05,357
Green-Lambert,E-commerce,India,Series C,76641508.0,2025-10-04,461
"Larson, Booth and Mcfarland",Finance,India,Seed,487952.0,2023-08-19,75
"Lee, Smith and Wilson",Finance,India,IPO,330985138.0,2018-05-16,475
Saunders-Davis,Finance,Germany,Series C,196209802.0,2022-12-16,445
Hodge-Daniel,SaaS,Netherlands,Series C,138173458.0,2020-07-07,492
"Gomez, White and Marshall",Finance,France,IPO,824683030.0,2024-03-05,467
Martin-Wells,Tech,USA,Series A,8720731.0,2022-08-04,332
"Horton, Ayala and Graham",Gaming,Australia,Series B,32556345.0,2018-03-31,208
Bradley-Guerrero,SaaS,Netherlands,Series B,31485994.0,2023-05-09,67
Ramirez and Sons,Health,France,Series A,3098247.0,2023-05-03,28
Palmer Group,SaaS,USA,IPO,409034314.0,2023-10-25,260
Galvan and Sons,SaaS,Canada,Seed,479029.0,2020-09-24,325
Lawrence-Graham,Education,Australia,Series A,1288328.0,2021-12-21,421
Holt-Lawrence,E-commerce,Germany,IPO,463534910.0,2024-03-02,468
"Fitzpatrick, Hill and Martinez",E-commerce,Germany,Series A,7420334.0,2022-10-12,481
Lang Ltd,AI,Netherlands,Seed,419383.0,2019-09-16,419
"Douglas, Kelley and Gonzales",Education,UK,IPO,256110594.0,2017-03-10,199
"Zavala, Wilson and Berg",SaaS,France,Series A,1419819.0,2019-08-08,187
"Jackson, Black and Taylor",Gaming,Australia,Series C,61651938.0,2016-08-27,231
Garcia Ltd,SaaS,Netherlands,Series B,10733495.0,2016-05-26,88
Harrington PLC,Tech,Germany,Series C,69060882.0,2017-06-08,156
Hines-Jackson,AI,Australia,Series C,151694905.0,2025-05-13,55
Miller-Drake,Tech,India,Seed,252781.0,2016-04-25,286
Martinez-Blackwell,Education,Australia,IPO,870561851.0,2019-11-21,162
"Saunders, Dominguez and White",Education,Germany,Series C,181269377.0,2017-02-21,463
"Medina, Mckinney and Quinn",Finance,Australia,Series C,100359379.0,2019-04-02,204
Roberts-Mann,Finance,Netherlands,Series C,182958266.0,2024-12-27,274
"Abbott, Stanley and Frazier",Gaming,Germany,IPO,761693854.0,2023-08-01,71
"Miller, Rowe and Goodman",Education,UK,Series B,31414467.0,2025-12-14,107
Mccormick-Anderson,SaaS,India,Seed,445839.0,2016-07-05,385
